Tidsmerke,stopp,stopp nr,av,på,stående,sittende,setebytter,passasjerer
17.09.2020 kl. 13.59.35,Nardosenteret,5,0,2,0,6,,6
,Bjarne Ness’ veg,6,0,0,,,,6
,Einar Øfstis veg,7,0,0,,,,6
,K. O. Thornæs veg,8,0,0,,,,6
17.09.2020 kl. 14.02.06,Othilienborg,9,0,1,,7,,7
17.09.2020 kl. 14.03.07,K. O. Thornæs veg,10,0,1,,,,8
17.09.2020 kl. 14.04.37,Einar Øfstis veg,11,0,0,,,,8
17.09.2020 kl. 14.05.20,Tors veg,12,0,5,0,,,13
17.09.2020 kl. 14.06.17,Nardokrysset,13,0,3,2,,,16
17.09.2020 kl. 14.07.35,Fiolsvingen,14,0,9,7,,,25
17.09.2020 kl. 14.09.19,Dybdahls veg,15,0,0,7,,,25
17.09.2020 kl. 14.11.22,Gløshaugen,16,7,7,7,,2,25
17.09.2020 kl. 14.13.03,Høgskoleringen,17,2,2,8,,,25
17.09.2020 kl. 14.14.32,Samfundet,18,4,4,6,,1,25
17.09.2020 kl. 14.16.29,Nidarosdomen,19,2,6,7,,1,29
17.09.2020 kl. 14.19.21,Prinsens gate ,20,7,26,18,,2,48
17.09.2020 kl. 14.23.08,Olav Tryggvasons ,21,7,3,12,,,44
17.09.2020 kl. 14.24.07,Bakkegata,22,1,4,10,,2,47
17.09.2020 kl. 14.25.29,Solsiden,23,10,1,6,,,38
17.09.2020 kl. 14.27.23,Buran,24,1,2,8,,,39
17.09.2020 kl. 14.28.56,Rønningsbakken,25,3,2,8,,,38
17.09.2020 kl. 14.31.11,Brian Smiths gate,26,0,0,,,,38
17.09.2020 kl. 14.32.09,Persaunet leir,27,2,3,7,,,39
17.09.2020 kl. 14.33.41,Clara Holsts veg,28,12,0,4,,,27
17.09.2020 kl. 14.34.23,Tyholt,29,7,0,1,,,20
17.09.2020 kl. 14.35.46,C. Thoresens veg,30,5,0,0,12,,15
17.09.2020 kl. 14.36.59,Valentinlyst,31,5,0,0,7,,10
17.09.2020 kl. 14.38.15,M. Berføtts veg,32,2,0,,5,,8
17.09.2020 kl. 14.41.09,Strinda vgs,33,6,0,,,,0
17.09.2020 kl. 15.27.24,NY RUTE,,,,,,,
17.09.2020 kl. 15.40.05,Nardosenteret,5,0,3,0,5,,5
17.09.2020 kl. 15.40.23,Bjarne Ness’ veg,6,0,0,,,,5
17.09.2020 kl. 15.40.48,Einar Øfstis veg,7,0,0,,,,5
17.09.2020 kl. 15.41.24,K. O. Thornæs veg,8,0,0,,,,5
17.09.2020 kl. 15.41.52,Othilienborg,9,0,3,0,,,8
17.09.2020 kl. 15.43.04,K. O. Thornæs veg,10,0,0,,,,8
17.09.2020 kl. 15.43.30,Einar Øfstis ,11,0,1,,,,9
17.09.2020 kl. 15.44.38,Tors veg,12,0,1,,,,10
17.09.2020 kl. 15.45.10,Nardokrysset,13,0,0,,,,10
17.09.2020 kl. 15.46.13,Fiolsvingen,14,0,3,,,,13
17.09.2020 kl. 15.47.39,Dybdahls veg,15,2,1,,,,12
17.09.2020 kl. 15.51.16,Gløshaugen,16,3,12,3,20,,21
17.09.2020 kl. 15.51.49,Høgskoleringen,17,2,2,3,,,21
17.09.2020 kl. 15.53.36,Samfundet,18,4,1,1,,,18
17.09.2020 kl. 15.55.09,Nidarosdomen,19,3,1,0,,,16
17.09.2020 kl. 15.57.49,Prinsens gate,20,7,12,2,18,,20
17.09.2020 kl. 16.01.45,Olav Tryggvason,21,4,7,5,,,23
17.09.2020 kl. 16.02.57,Bakkegata,22,1,0,3,,1,22
17.09.2020 kl. 16.04.28,Solsiden,23,1,1,2,,,22
17.09.2020 kl. 16.06.29,Buran,24,6,2,1,,1,18
17.09.2020 kl. 16.08.22,Rønningsbakken,25,0,1,,,,19
17.09.2020 kl. 16.10.35,Brian Smiths gate,26,2,1,4,,,18
17.09.2020 kl. 16.11.54,Persaunet leir,27,3,0,3,,,15
17.09.2020 kl. 16.12.59,Clara Holsts veg,28,3,0,0,,1,12
17.09.2020 kl. 16.14.01,Tyholt,29,9,0,0,5,1,3
17.09.2020 kl. 16.14.57,C. Thoresens veg,30,1,0,,,,2
17.09.2020 kl. 16.15.58,Valentinlyst,31,0,0,,,,2
17.09.2020 kl. 16.17.08,M. Berrføtts veg,32,0,1,0,,,3
17.09.2020 kl. 16.34.24,Strinda vgs,33,5,0,,,,0
