Tidsmerke,stopp,stopp nr,av,på,stående,sittende,setebytter,passasjerer
17.09.2020 kl. 13.33.42,Gløshaugen,20,3,1,2,,,15
17.09.2020 kl. 13.35.25,Dybdahls veg,21,1,0,1,15+,,16
17.09.2020 kl. 13.36.08,Fiolsvingen,22,3,0,0,,1,13
17.09.2020 kl. 13.37.24,Nardokrysset,23,2,0,0,11,,11
17.09.2020 kl. 13.38.34,Bjarne Ness’ veg,24,3,0,,,,8
17.09.2020 kl. 13.40.01,Einar Øfstis veg,25,1,0,,,,7
,K. O. Thornæs veg,26,0,0,,,,7
17.09.2020 kl. 13.41.11,Othilienborg,27,3,0,,,,4
17.09.2020 kl. 13.42.35,K. O. Thornæs veg,28,0,1,,3,,5
17.09.2020 kl. 13.43.20,Einar Øfstis veg,29,0,0,,,,5
17.09.2020 kl. 13.44.38,Nardosenteret,30,1,0,,2,,4
17.09.2020 kl. 14.41.16,NY RUTE,,,,,,,
17.09.2020 kl. 14.43.16,Strinda vgs,1,0,12,0,12,,12
17.09.2020 kl. 14.45.39,M. Berrføtts veg,2,0,0,,,,12
17.09.2020 kl. 14.46.07,Valentinlyst,3,3,2,,,,11
17.09.2020 kl. 14.47.36,Tyholtveien,4,1,0,,12,,12
17.09.2020 kl. 14.48.24,C. Thoresens veg,5,0,0,,,,12
17.09.2020 kl. 14.48.48,Tyholt,6,0,1,,,,13
17.09.2020 kl. 14.49.37,Clara Holsts veg,7,0,1,,,,14
17.09.2020 kl. 14.50.27,Persaunet leir,8,2,0,,,1,12
17.09.2020 kl. 14.51.50,Brian Smiths gate,9,1,1,,,,12
17.09.2020 kl. 14.54.24,Dalen hageby,10,4,1,,,,9
17.09.2020 kl. 14.55.37,Rønningsbakken,11,2,1,,,,8
17.09.2020 kl. 14.57.50,Buran,12,1,0,,,,7
17.09.2020 kl. 14.59.41,Solsiden,13,1,2,,,,8
17.09.2020 kl. 15.01.26,Bakkegata,14,0,0,,,,8
17.09.2020 kl. 15.04.48,Olav Tryggvasons,15,4,0,,,,4
17.09.2020 kl. 15.07.27,Prinsens gate,16,1,10,1,,,13
17.09.2020 kl. 15.10.42,Nidarosdomen,17,0,7,5,,,20
17.09.2020 kl. 15.11.59,Samfundet,18,1,6,6,,,25
17.09.2020 kl. 15.13.05,Høgskoleringen,19,2,1,5,,,24
17.09.2020 kl. 15.15.08,Gløshaugen,20,2,6,7,,,28
17.09.2020 kl. 15.17.48,Dybdahls veg,21,2,4,9,,,30
17.09.2020 kl. 15.19.54,Fiolsvingen,22,5,0,5,,2,25
17.09.2020 kl. 15.21.01,Nardokrysset,23,8,0,2,,,17
17.09.2020 kl. 15.22.38,Bjarne Ness’ veg,24,3,1,2,,,15
17.09.2020 kl. 15.23.14,Einar Øfstis veg,25,0,0,,,,15
17.09.2020 kl. 15.23.45,K. O. Thornæs’ veg,26,3,0,,,,12
17.09.2020 kl. 15.24.42,Othilienborg,27,2,0,0,,,10
17.09.2020 kl. 15.25.38,K. O. Thornæs veg,28,0,0,,,,10
17.09.2020 kl. 15.25.59,Einar Øfstis veg,29,0,0,,,,10
17.09.2020 kl. 15.27.16,Nardosenteret,30,1,0,0,9,,9
17.09.2020 kl. 16.34.32,NY RUTE,,,,,,,
17.09.2020 kl. 16.36.07,M berrføtts veg,2,0,5,,9,,9
17.09.2020 kl. 16.36.46,Valentinlyst,3,0,5,1,,,14
17.09.2020 kl. 16.37.25,Tyholtveien,4,0,1,1,,,15
17.09.2020 kl. 16.38.42,C. Thoresens veg,5,0,0,,,,15
17.09.2020 kl. 16.39.05,Tyholt,6,0,0,,,,15
17.09.2020 kl. 16.39.31,Clara Holsts veg,7,1,2,0,,,16
17.09.2020 kl. 16.40.36,Persaunet leir,8,1,1,0,,,16
17.09.2020 kl. 16.41.53,Brian Smiths gate,9,0,0,,,,16
17.09.2020 kl. 16.42.43,Dalen hageby,10,2,0,,,,14
17.09.2020 kl. 16.44.23,Rønningsbakken,11,1,2,,,,15
17.09.2020 kl. 16.46.09,Buran,12,2,2,,,,15
17.09.2020 kl. 16.48.39,Solsiden,13,3,10,3,15,,18
17.09.2020 kl. 16.49.22,Bakkegata,14,5,7,3,,,20
17.09.2020 kl. 16.51.40,Olav Tryggvasons,15,5,2,2,,1,17
17.09.2020 kl. 16.54.17,Prinsens gate,16,10,5,0,,,12
17.09.2020 kl. 16.57.30,Nidarosdomen,17,2,2,0,13,,12
17.09.2020 kl. 16.58.03,Samfundet,18,2,3,,,,13
