Tidsmerke,stopp,stopp nr,av,på,stående,sittende,fulle dobbeltseter,setebytter,passasjerer
15.09.2020 kl. 07.16.19,Heimdal stasjon,3,0,8,0,13,1,,13
15.09.2020 kl. 07.18.03,Lyngvegen,4,0,2,0,15,1,,15
15.09.2020 kl. 07.19.45,Skyttervegen,5,0,6,0,21,1,,21
15.09.2020 kl. 07.21.12,Midteggen,6,0,2,0,23,,,23
15.09.2020 kl. 07.23.09,Casper Lundes veg,7,0,4,0,27,1,,27
15.09.2020 kl. 07.24.35,Saupstadsenteret,8,3,4,1,27,1,,28
15.09.2020 kl. 07.25.49,Husebytunet 1,9,0,3,2,29,2,,31
15.09.2020 kl. 07.27.41,Bjørndalstoppen,10,2,11,8,32,2,,40
15.09.2020 kl. 07.28.29,Bjørndalsbrua,11,0,1,9,32,,,41
15.09.2020 kl. 07.31.18,Tonstadkrysset 1,12,0,4,9,36,3,,45
15.09.2020 kl. 07.35.00,Sluppen 1,13,0,0,8,37,,,45
15.09.2020 kl. 07.36.27,Bratsbergvegen,14,4,1,8,34,,,42
15.09.2020 kl. 07.37.43,Valøyvegen,15,2,1,7,34,,,41
15.09.2020 kl. 07.38.19,Lerkendal 1,16,2,0,7,32,,,39
15.09.2020 kl. 07.40.11,Hesthagen,17,2,2,10,29,,,39
15.09.2020 kl. 07.43.48,Samfundet 1,18,6,3,7,29,,,36
15.09.2020 kl. 07.45.03,Nidarosdomen,19,3,1,4,30,,,34
15.09.2020 kl. 07.47.32,Prinsens gate P2,20,7,5,2,30,,,32
15.09.2020 kl. 07.50.46,Olav Tryggvason 3,21,6,0,2,24,,,26
15.09.2020 kl. 07.52.41,Trondheim S 13,22,9,0,1,5,,,17
15.09.2020 kl. 07.54.23,Dyre Halses gate,23,3,1,,,,,15
15.09.2020 kl. 07.56.33,Buran 3,24,1,4,0,,,,18
15.09.2020 kl. 07.57.19,Anders Burns gate ,25,0,0,,,,,18
15.09.2020 kl. 07.58.39,Ladeveien,26,3,4,1,,,,19
15.09.2020 kl. 08.00.07,Ingemann Torps vei,27,2,4,1,9,,,21
15.09.2020 kl. 08.00.48,Lade idrettsanlegg,28,3,0,,,,,18
15.09.2020 kl. 08.03.27,Haakon VII gate 25,29,1,0,,,,,17
15.09.2020 kl. 08.58.44,NY RUTE,,,,,,,,
15.09.2020 kl. 09.25.11,Heimdal stasjon,3,0,4,0,8,,,8
15.09.2020 kl. 09.26.09,Lyngvegen,4,0,1,,,,,9
15.09.2020 kl. 09.27.21,Skyttervegen,5,0,1,,,,,10
15.09.2020 kl. 09.28.53,Midteggen,6,0,6,,,,,16
15.09.2020 kl. 09.30.56,Casper Lundes veg,7,0,2,,18,,,18
15.09.2020 kl. 09.31.42,Saupstadsenteret,8,1,3,,,,,20
15.09.2020 kl. 09.33.02,Husebytunet 1,9,0,3,2,,,,23
15.09.2020 kl. 09.34.34,Bjørndalstoppen,10,0,8,6,,,,31
15.09.2020 kl. 09.35.20,Bjørndalsbrua,11,0,1,7,,,,32
15.09.2020 kl. 09.37.04,Tonstadkrysset,12,0,1,8,,,,33
15.09.2020 kl. 09.41.19,Sluppen 1,13,1,0,,,,,32
