Tidsmerke,stopp,stopp nr,av,på,stående,sittende,fulle dobbeltseter,setebytter,passasjerer
15.09.2020 kl. 06.52.27,Samfundet,13,0,8,,9,,,9
15.09.2020 kl. 06.53.11,Hesthagen,14,2,0,,6,,,7
15.09.2020 kl. 06.54.39,Lerkendal 2,15,2,3,,,,,8
15.09.2020 kl. 06.55.42,Valøyvegen,16,0,0,,,,,8
15.09.2020 kl. 06.56.55,Bratsbergvegen,17,4,3,,6,,,7
15.09.2020 kl. 06.58.16,Kroppanbrua,18,1,0,,,,,6
15.09.2020 kl. 07.02.17,Tonstadkrysset 4,19,1,1,,,,,6
15.09.2020 kl. 07.03.24,Bjørndalsbrua,20,0,0,,,,,6
15.09.2020 kl. 07.03.56,Bjørndalstoppen,21,1,0,,,,,5
15.09.2020 kl. 07.05.14,Husebytunet 2,22,0,0,,,,,5
15.09.2020 kl. 07.06.08,Husebytunet 2,23,1,0,,,,,4
15.09.2020 kl. 07.07.34,Saupstadsenteret,24,4,0,0,0,,,0
15.09.2020 kl. 07.08.48,Casper Lundes veg,25,0,1,,1,,,1
15.09.2020 kl. 07.10.19,Midteggen,26,0,0,,,,,1
15.09.2020 kl. 07.11.28,Skyttervegen,27,0,1,,,,,2
15.09.2020 kl. 07.12.28,Lyngvegen,28,0,0,,,,,2
15.09.2020 kl. 08.08.36,NY RUTE,,,,,,,,
15.09.2020 kl. 08.14.01,Haakon VIIs gate,2,0,5,0,8,,,8
15.09.2020 kl. 08.15.09,Lade idrettsanlegg,3,2,1,0,,,,7
15.09.2020 kl. 08.17.09,Ingemann Torps veg,4,1,13,0,,2,,19
15.09.2020 kl. 08.18.37,Ladeveien,5,0,12,6,,,,31
15.09.2020 kl. 08.20.10,Anders Buens gate,6,0,4,7,,,,35
15.09.2020 kl. 08.21.51,Buran 1,7,4,3,6,,,,34
15.09.2020 kl. 08.24.02,Dyre Halses gate,8,0,3,6,,,,37
15.09.2020 kl. 08.26.32,Trondheim S 10,9,1,0,5,,,,36
15.09.2020 kl. 08.29.18,Olav Tryggvasons 1,10,8,3,5,,,,31
15.09.2020 kl. 08.31.17,Prinsens gate P1,11,8,3,0,,,,26
15.09.2020 kl. 08.33.32,Nidarosdomen,12,3,0,0,,,,23
