stopp nr	07:43	09:47	13:07	06:28	08:02	09:38	06:52	08:35	10:39	12:15	13:54	07:03	08:43
3	0	0	0		2	0		0	0		3		
4	0	0	0		0	0		2	1		5		3
5	0	0	0		4	0		1	2		2	0	3
6	0	0	0		0	0		0	0		2	3	0
7	0	0	1		0	1		0	0		0	0	1
8	3	1	3		26	3		4	2		2	1	2
9	0	0	0		0	0		0	1		1	0	2
10	2	0	0		1	1		1	0		1	2	1
11	0	0	0		0	0		8	1		5	2	2
12	0	0	0		2	1		8	3		5	5	5
13	0	1	1		1	0		3	0		2	0	4
14	4	5	0		4	2	0	2	1	1	4	3	3
15	2	1	1		1	1	2	2		0		1	0
16	2	2	0		2	1	2	4		1		1	1
17	2	4	0		8	0	0	1		1		3	0
18	6	2	1	0	7	4	4	4		3		2	5
19	3	6	2	1	10		1	1		0		2	1
20	7	15	6	5	7		1	2		2		2	0
21	6	7	2	1	1		0	0		2		0	0
22	9	4	1	2	4		1	0		2		2	2
23	3	0	1	1	2		0	1		2		0	1
24	1	1	1	2	0		1	17		8		8	6
25	0	1	4	0	2		4	1		1		0	1
26	3	3	3	8	2		0	0		2		0	0
27	2	3	3	4	3		0	1		1		0	2
28	3	4	1		4		0	0		0		0	0
29	1	5	7				0	8		4		9	4
