stopp nr	07:43	09:47	13:07	06:28	08:02	09:38	06:52	08:35	10:39	12:15	13:54	07:03	08:43
3	8	4	3		11	2		5	2		7		
4	2	1	0		2	0		1	3		3		0
5	6	1	0		2	2		13	3		4	5	6
6	2	6	0		4	1		12	2		4	5	8
7	4	2	2		12	3		4	0		1	1	5
8	4	3	2		8	4		3	1		5	4	3
9	3	3	1		6	1		3	0		3	2	4
10	11	8	1		7	7		0	0		0	6	0
11	1	1	0		1	0		3	2		2	1	1
12	4	1	2		4	3		3	2		12	3	2
13	0	0	0		0	0		0	0		4	3	0
14	1	2	4		1	0	8	4	3	3	2	6	4
15	1	5	0		3	3	0	1		3		0	0
16	0	1	1		0	4	3	7		2		1	0
17	2	4	4		0	3	0	0		2		2	1
18	3	4	5	3	2	2	3	3		5		1	0
19	1	1	3	0	1		0	1		0		0	0
20	5	7	10	2	3		1	1		0		1	0
21	0	0	2	0	0		0	0		0		0	0
22	0	3	1	2	0		0	0		1		0	3
23	1	2	1	0	0		0	2		2		0	1
24	4	2	3	7	0		0	0		3		2	0
25	0	0	1	0	1		0	1		0		2	1
26	4	2	1	2	0		1	2		1		0	3
27	4	1	1	0	1		0	0		0		0	0
28	0	3	4		0		1	0		0		0	0
29	0	0	2				0	0		0		0	0
