stopp nr	07:43	09:47	13:07	06:28	08:02	09:38	06:52	08:35	10:39	12:15	13:54	07:03	08:43
3	13	8	4		33	6		8	3		14		
4	15	9	4		35	6		7	5		12		4
5	21	10	4		33	8		19	6		14	13	7
6	23	16	4		37	9		31	8		16	15	15
7	27	18	5		49	11		35	8		17	16	19
8	28	20	4		31	12		34	7		20	19	20
9	31	23	5		37	13		37	6		22	21	22
10	40	31	6		43	19		36	6		21	25	21
11	41	32	6		44	19		31	7		18	24	20
12	45	33	8		46	21		26	6		25	22	17
13	45	32	7		45	21		23	6		27	25	13
14	42	29	11		42	19	9	25	8	17	25	28	14
15	41	33	10		44	21	7	24		20		27	14
16	39	32	11		42	24	8	27		21		27	13
17	39	32	15		34	27	8	26		22		26	14
18	36	34	19	14	29	29	7	25		24		25	9
19	34	29	20	13	20		6	25		24		23	8
20	32	21	24	10	16		6	24		22		22	8
21	26	14	24	9	15		6	24		20		22	8
22	17	13	24	9	11		5	24		19		20	9
23	15	15	24	8	9		5	25		19		20	9
24	18	16	26	14	9		4	8		14		14	3
25	18	15	23	14	8		0	8		13		16	3
26	19	14	21	8	6		1	10		12		16	6
27	21	12	19	4	4		1	9		11		16	4
28	18	11	22		0		2	9		11		16	4
29	17	6	17				2	1		7		7	0
