stopp nr	07:43	09:47	13:07	06:28	08:02	09:38	06:52	08:35	10:39	12:15	13:54	07:03	08:43
3	0	0	0		11			0	0		1		
4	0	0	0		13			0	0		1		0
5	0	0	0		11			0	0		0	0	0
6	0	0	0		15			6	0		0	0	0
7	0	0	0		15			7	0		0	0	0
8	1	0	0		6			6	0		0	0	1
9	2	2	0		14			6	0		0	0	0
10	8	6	0					5	0		1	0	0
11	9	7	0					5	0		0	0	0
12	9	8	0					0	0		0	0	0
13	8	7	0					0	0		0	0	0
14	8	6	0		12		0	1	0	2	0	1	0
15	7	8	0		11		0	0		2		0	0
16	7	7	0		10		0	1		0		0	0
17	10	7	0		3	2	0	2		1		0	0
18	7	6	0	1	2	1	0	2		0		0	0
19	4	5	0	0	1		0	2		0		0	0
20	2	2	0	0	0		0	2		0		0	0
21	2	2	0	0	0		0	2		0		0	0
22	1	0	0	0	0		0	2		0		0	0
23	0	0	0	0	0		0	2		0		0	0
24	0	0	0	2	0		0	0		0		0	0
25	0	0	0	0	0		0	0		0		0	0
26	1	0	0	0	0		0	0		0		0	0
27	1	0	0	0	0		0	0		0		0	0
28	0	0	0		0		0	0		0		0	0
29	0	0	0				0	0		0		0	0
